1,EXW,EX WORKS,2023-03-09 15:53:22,2023-03-09 15:53:22,
2,FCA,FREE CARRIER,2023-03-09 15:53:22,2023-03-09 15:53:22,
3,FAS,FREE ALONGSIDE SHIP,2023-03-09 15:53:22,2023-03-09 15:53:22,
4,FOB,FREE ON BOARD,2023-03-09 15:53:22,2023-03-09 15:53:22,
5,CFR,COST & FREIGHT,2023-03-09 15:53:22,2023-03-09 15:53:22,
6,CIF,"COST, INSURANCE & FREIGHT",2023-03-09 15:53:22,2023-03-09 15:53:22,
7,CPT,COST PAID TO,2023-03-09 15:53:22,2023-03-09 15:53:22,
8,CIP,CARRIER & INSURANCE PAID TO,2023-03-09 15:53:22,2023-03-09 15:53:22,
9,DPU,DELIVERED AT PLACE UNLOADED,2023-03-09 15:53:22,2023-03-09 15:53:22,
10,DPA,DELIVERED AT PLACE,2023-03-09 15:53:22,2023-03-09 15:53:22,
11,DDP,DELIVERED DUTY PAID,2023-03-09 15:53:22,2023-03-09 15:53:22,
